id,title,price,userRate,recommendationCount,description,"کیفیت ساخت","سهولت در استفاده","امکانات و قابلیت ها","ارزش خرید به نسبت قیمت"
255980,"Sony PlayStation VR Bundle Virtual Reality Headset
عینک واقعیت مجازی سونی مدل PlayStation VR Bundle","2,779,000",,0,,,,,
186750,"Drive Club PlayStation 4 Hard Cover
کاور هارد پلي استيشن 4 طرح Drive Club","30,000",,0,,,,,
186749,"Call Of Duty PlayStation 4 Hard Cover
کاور هارد پلي استيشن 4 طرح Call Of Duty","30,000",۴.۷,0,,4.5,,4,
186733,"Messi PlayStation 4 Cover
برچسب پلي استيشن 4 مدل Messi","18,000",۳,0,,3,3,3,3
186727,"Halo PlayStation 4 Cover
برچسب پلي استيشن 4 مدل Halo","17,000",۲,0,,2,2,2,2
186716,"Best Of The Best Logo Analog Stick Silicon Thumb Grip
روکش سيليکوني آنالوگ استيک مدل Best Of The Best Logo","6,500",۵,0,,,,,
186714,"Star Logo Analog Stick Silicon Thumb Grip
روکش سيليکوني آنالوگ استيک مدل Star Logo","6,500",۳.۲,0,,4,,3,2
186713,"Spider Man Logo Analog Stick Silicon Thumb Grip
روکش سيليکوني آنالوگ استيک مدل Spider Man Logo","6,500",۵,0,,,,,
186710,"Chelsea Logo Analog Stick Silicon Thumb Grip
روکش سيليکوني آنالوگ استيک مدل Chelsea Logo","6,500",۴.۷,0,,4.5,4.3,4.5,
186707,"Mortal Kombat Logo Analog Stick Silicon Thumb Grip
روکش سيليکوني آنالوگ استيک مدل Mortal Kombat Logo","6,500",۳.۴,0,,3.3,3.7,3.3,3.3
186703,"Juventus Logo Analog Stick Silicon Thumb Grip
روکش سيليکوني آنالوگ استيک مدل Juventus Logo","6,500",۴.۷,0,,4.6,4.6,4.8,4.6
186702,"Arsenal Logo Analog Stick Silicon Thumb Grip
روکش سيليکوني آنالوگ استيک مدل Arsenal Logo","6,500",۴.۷,0,,4.5,,4,
186694,"Manchester City Old Logo Analog Stick Silicon Thumb Grip
روکش سيليکوني آنالوگ استيک مدل Manchester City Old Logo","6,500",,0,,,,,
184897,"Dragon PlayStation 4 Hard Cover
کاور هارد پلي استيشن 4 طرح اژدها","35,000",۵,0,,3.3,3.4,3.6,3.6
176325,"Sony Playstation 4 Pro Region 2 CUH-7016B 1TB Game Console
کنسول بازي سوني مدل Playstation 4 Pro کد CUH-7016B ريجن 2 - ظرفيت 1 ترابايت","1,808,000",۳.۹,0,,4.1,3.9,4,4,3.5
