عالیه,پسرفت,کم
عالي,افتضاح,زیاد
عالی,متعصب,بالا
فوق‌العاده,سختیه,پایین
فوق,جوگیر,بزرگ
العاده,قدیمی,کوچیک
خوبه,تکراری,کوچک
سریع,نامعتبره,جدیدترین
بهترین,نامعتبر,جدید
خوبی,ورشکست,جدیدتر
خوش,کپي,اصلی
مناسب,هنگ,دستی
زيبا,داغ,دست
راضی,مشکل,بالاتر
قوي,زشت,بالاتره
زیاد,بدفرم,بالاتری
هنگ,بد,بالاترین
راضیم,بدی,رده
سریع,بدترین,میان
خوبیه,زشتر,متفاوت
بهتره,زشترین,مبتدی
اصله,بدتر,
اصل,زیاد,
اصیل,گران,
خوشکل,گرون,
خوش,بده,
خوشفرم,ضعیف,
خوش‌فرم,گرم,
خوشگل,برآمده,
خوب,بدیه,
خوش‌دست,مشکلی,
خوشدست,بدیست,
روان,پایینی,
روون,پایینه,
آسان,کنده,
آسون,کندی,
بالا,سختی,
کافی,بدفرمی,
نیک,نافرم,
جدید,نافرمی,
ارزان,داغی,
ارزون,قدیمیه,
پایین,پسرفتی,
کم,ضد,
دلچسب,ضعيف,
بزرگه,پايين,
بزرگ,عیب,
کوچک,ایراد,
کوچیک,ایرادی,
خوبیه,معیوب,
بالای,کند,
اهمیتی,الکی,
مهم,گرونه,
اهمیت,معمولی,
زیادی,شلوغ,
معمولی,,
خوبیست,,
زیادی,,
بالایی,,
جذاب,,
جذابی,,
آسونی,,
آسانی,,
سریعی,,
سریعه,,
پیشرفت,,
پیشرفتی,,
پیشرفته,,
جدیده,,
جدیدیه,,
مناسبی,,
مناسبه,,
ارزانی,,
ارزونی,,
ایده,,
ایده‌آل,,
ایده‌ال,,
آل,,
آلی,,
مطلوب,,
مطلوبیه,,
مطلوبی,,
قویه,,
تاپ,,
بهتر,,
قوی,,
قدرتمند,,
سريع,,
ال,,
راحت,,
بهتر,,
زیبا,,
دست,,
خوش,,
دلچسب,,
خوبی,,
باکلاس,,
باکیفیت,,
باگ,,
بالارده,,
بامزه,,
آورانه,,
نو,,
مقرون,,
صرفه,,
خارق,,
محکم,,
باریک,,
شیک,,
دوام,,
منحصر,,
خارق,,
خارق,,
قابلقبول,,
قبول,,
قابل,,
بصرفه,,
مزیت,,
مدوام,,
رونه,,
مثال,,
